pi.mu^2.I \ thetaD	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
8.00	0.126942952	0.202139856	0.393959774	0.667308675	1.009708257	1.414548712	1.875569695	2.38594685	2.938128254	3.523733537	4.133407601	4.756591234	5.381163271	5.99287542	6.574427243	7.103854541	7.551440866	7.873117688	7.99899403
8.10	0.125226905	0.201310284	0.395022444	0.671035408	1.017001423	1.426324565	1.892695687	2.409217037	2.96824703	3.561300046	4.178898878	4.81034285	5.443345879	6.063464618	6.653162175	7.190176168	7.644387091	7.971092296	8.099100129
8.20	0.123555041	0.200520834	0.396113285	0.674782522	1.024310828	1.438113479	1.909831627	2.432494011	2.998369451	3.59886718	4.224387977	4.864089778	5.505521635	6.134045168	6.731887052	7.276486759	7.737322044	8.069057647	8.199200864
8.30	0.12192553	0.199769699	0.397230842	0.678548981	1.031635693	1.449914835	1.926977037	2.455777422	3.028495291	3.636434831	4.269874898	4.917832112	5.56769071	6.20461731	6.810602159	7.362786623	7.830246012	8.167013915	8.299296296
8.40	0.120336642	0.199055176	0.398373752	0.682333821	1.038975288	1.461728054	1.944131462	2.479066937	3.058624336	3.674002895	4.315359638	4.971569941	5.62985327	6.275181268	6.889307766	7.449076055	7.923159273	8.264961263	8.399386481
8.50	0.118786748	0.198375654	0.399540734	0.686136136	1.046328923	1.473552586	1.961294473	2.502362243	3.088756382	3.711571275	4.360842197	5.025303346	5.692009469	6.345737254	6.968004128	7.535355333	8.016062088	8.362899851	8.49947147
8.60	0.117274305	0.197729613	0.40073059	0.689955079	1.053695953	1.485387914	1.978465663	2.52566304	3.118891236	3.749139876	4.40632257	5.079032405	5.754159451	6.41628547	7.046691488	7.621624724	8.10895471	8.460829827	8.599551312
8.70	0.115797854	0.197115614	0.40194219	0.693789855	1.061075766	1.497233546	1.995644646	2.548969044	3.149028713	3.786708607	4.451800754	5.132757191	5.816303356	6.486826106	7.125370076	7.707884478	8.201837377	8.558751337	8.699626052
8.80	0.114356013	0.196532296	0.403174476	0.697639717	1.068467789	1.509089019	2.012831056	2.572279985	3.179168637	3.824277383	4.497276744	5.186477772	5.878441314	6.557359342	7.204040108	7.794134835	8.294710316	8.656664519	8.799695732
8.90	0.112947473	0.195978368	0.404426449	0.701503964	1.075871476	1.520953893	2.030024545	2.595595607	3.20931084	3.86184612	4.542750536	5.240194213	5.940573446	6.627885348	7.282701791	7.880376022	8.387573747	8.754569505	8.89976039
9.00	0.111570993	0.195452608	0.405697171	0.705381936	1.083286315	1.532827748	2.047224781	2.618915663	3.239455163	3.899414739	4.588222124	5.293906572	6.002699869	6.698404286	7.361355321	7.966608255	8.480427875	8.852466421	8.999820062
9.10	0.110225393	0.194953854	0.406985757	0.709273009	1.090711818	1.544710189	2.064431449	2.642239921	3.269601451	3.936983163	4.633691502	5.347614908	6.064820694	6.76891631	7.440000883	8.052831739	8.5732729	8.950355389	9.099874781
9.20	0.108909555	0.194481005	0.408291372	0.713176596	1.098147525	1.556600837	2.081644249	2.665568157	3.299749558	3.974551318	4.679158664	5.401319274	6.126936024	6.839421563	7.518638654	8.13904667	8.666109011	9.048236525	9.199924577
9.30	0.107622412	0.194033013	0.409613228	0.717092144	1.105592997	1.568499332	2.098862894	2.688900157	3.329899343	4.012119134	4.724623602	5.455019718	6.189045957	6.909920185	7.597268802	8.225253233	8.758936388	9.14610994	9.299969478
9.40	0.106362954	0.193608884	0.410950581	0.721019127	1.113047819	1.580405333	2.116087111	2.71223572	3.360050673	4.049686543	4.77008631	5.508716289	6.251150587	6.980412306	7.675891486	8.311451606	8.851755204	9.243975741	9.400009509
9.50	0.105130214	0.193207669	0.412302729	0.724957051	1.120511595	1.592318513	2.133316638	2.735574649	3.390203418	4.087253477	4.81554678	5.56240903	6.313250002	7.050898051	7.754506857	8.397641957	8.944565624	9.34183403	9.500044695
9.60	0.103923276	0.192828466	0.413669006	0.728905444	1.127983948	1.604238559	2.150551225	2.758916758	3.420357454	4.124819874	4.861005004	5.616097982	6.375344286	7.121377536	7.833115059	8.483824446	9.037367804	9.439684904	9.600075057
9.70	0.102741262	0.192470417	0.415048783	0.732863863	1.135464521	1.616165174	2.167790635	2.782261868	3.450512663	4.162385672	4.906460972	5.669783185	6.437433517	7.191850874	7.91171623	8.569999226	9.130161896	9.537528459	9.700100613
9.80	0.101583339	0.192132701	0.416441464	0.736831883	1.142952971	1.628098073	2.185034637	2.805609808	3.48066893	4.199950813	4.951914678	5.723464675	6.499517771	7.262318171	7.990310499	8.656166443	9.222948044	9.635364783	9.800121382
9.90	0.100448708	0.191814538	0.417846482	0.740809104	1.150448973	1.640036984	2.202283014	2.828960414	3.510826145	4.237515237	4.997366111	5.777142486	6.561597118	7.332779529	8.06889799	8.742326235	9.315726384	9.733193963	9.90013738
10.00	0.099336608	0.191515181	0.419263303	0.744795143	1.157952214	1.651981646	2.219535554	2.852313527	3.540984202	4.27507889	5.042815263	5.830816649	6.623671626	7.403235043	8.147478821	8.828478734	9.408497048	9.831016081	10.00014862
10.10	0.098246311	0.191233919	0.420691418	0.748789637	1.165462397	1.663931809	2.236792056	2.875668996	3.571143001	4.312641719	5.088262124	5.884487197	6.68574136	7.473684806	8.226053106	8.914624067	9.501260162	9.928831218	10.10015511
10.20	0.097177122	0.19097007	0.422130343	0.75279224	1.172979236	1.675887234	2.254052327	2.899026675	3.601302442	4.350203669	5.133706684	5.938154155	6.747806378	7.544128902	8.30462095	9.000762354	9.594015845	10.02663945	10.20015688
10.30	0.096128375	0.190722985	0.423579619	0.756802623	1.18050246	1.687847691	2.271316181	2.922386424	3.631462431	4.387764692	5.179148933	5.991817551	6.809866739	7.614567416	8.383182456	9.086893708	9.686764212	10.12444085	10.30015391
10.40	0.095099432	0.190492041	0.425038811	0.760820469	1.188031805	1.69981296	2.28858344	2.945748108	3.661622877	4.425324738	5.224588861	6.045477409	6.871922497	7.685000426	8.46173772	9.173018241	9.779505373	10.22223548	10.40014624
10.50	0.094089683	0.190276643	0.426507502	0.764845479	1.195567023	1.711782829	2.305853932	2.969111597	3.691783691	4.462883758	5.270026458	6.099133752	6.933973703	7.755428007	8.540286836	9.259136055	9.872239433	10.32002342	10.50013385
10.60	0.093098542	0.190076221	0.427985298	0.768877365	1.203107873	1.723757094	2.323127491	2.992476766	3.721944789	4.500441707	5.315461714	6.152786601	6.996020407	7.825850229	8.618829892	9.34524725	9.964966493	10.41780472	10.60011676
10.70	0.092125451	0.189890229	0.429471821	0.772915853	1.210654123	1.73573556	2.340403958	3.015843493	3.752106088	4.53799854	5.360894616	6.206435977	7.058062654	7.89626716	8.69736697	9.431351922	10.05768665	10.51557945	10.70009497
10.80	0.09116987	0.189718145	0.430966713	0.776960679	1.218205552	1.747718038	2.357683181	3.039211663	3.782267509	4.575554211	5.406325155	6.260081899	7.120100488	7.966678865	8.775898152	9.51745016	10.15039999	10.61334768	10.80006849
10.90	0.090231283	0.189559467	0.432469631	0.781011592	1.225761947	1.759704347	2.374965011	3.062581162	3.812428974	4.613108679	5.451753319	6.313724382	7.18213395	8.037085405	8.854423514	9.603542052	10.2431066	10.71110944	10.90003732
11.00	0.089309195	0.189413714	0.433980249	0.785068351	1.233323103	1.771694313	2.392249307	3.085951884	3.842590409	4.650661902	5.497179097	6.367363443	7.244163081	8.107486837	8.932943129	9.689627679	10.33580658	10.80886481	11.00000146
11.10	0.088403131	0.189280425	0.435498254	0.789130723	1.240888823	1.783687766	2.409535931	3.109323721	3.872751742	4.688213839	5.542602478	6.420999098	7.306187916	8.177883219	9.011457065	9.775707121	10.42849999	10.90661382	11.09996091
11.20	0.087512632	0.189159158	0.437023349	0.793198488	1.248458917	1.795684546	2.426824749	3.132696573	3.902912902	4.725764451	5.588023451	6.474631359	7.368208492	8.248274601	9.089965389	9.861780451	10.52118692	11.00435654	11.19991567
11.30	0.086637259	0.189049487	0.438555248	0.797271431	1.256033202	1.807684495	2.444115635	3.156070343	3.933073822	4.763313698	5.633442002	6.52826024	7.430224841	8.318661035	9.168468164	9.947847743	10.61386744	11.102093	11.29986574
11.40	0.08577659	0.188951004	0.440093679	0.801349348	1.263611501	1.819687463	2.461408465	3.179444934	3.963234436	4.800861543	5.678858122	6.581885751	7.492236996	8.389042567	9.24696545	10.03390906	10.70654161	11.19982326	11.39981112
11.50	0.084930218	0.188863317	0.441638383	0.805432041	1.271193645	1.831693303	2.478703118	3.202820256	3.99339468	4.838407948	5.724271797	6.635507904	7.554244985	8.459419244	9.325457305	10.11996448	10.79920951	11.29754735	11.4997518
11.60	0.084097751	0.18878605	0.443189108	0.809519321	1.278779469	1.843701875	2.49599948	3.226196218	4.023554491	4.875952879	5.769683017	6.689126707	7.616248836	8.529791108	9.403943782	10.20601405	10.89187121	11.39526532	11.59968779
